step,time,gps_x,gps_y,gps_z,gps_speed,gyro_x,gyro_y,gyro_z,imu_roll,imu_pitch,imu_yaw,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,radar_targets_count,roof_lidar_min_dist,roof_lidar_max_dist,roof_lidar_mean_dist,camera_red,camera_green,camera_blue,camera_gray,camera_recognition_objects,driver_speed,driver_steering_angle,driver_brake_intensity,collision_detected
0,0.010000,nan,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0,0.0,0,nan,-0.000000,0.400000,0
1,0.060000,-45.000001,45.880000,0.385267,0.491104,-0.000000,-0.000461,0.000000,-0.000000,-0.000014,3.141590,0.000007,-0.000000,1.000000,0.000001,1,14.689896,99.982086,48.360149,136,127,120,127.66666666666667,10,0.701778,-0.000000,0.000000,0
2,0.110000,-45.004556,45.879996,0.349335,0.832969,0.000058,-0.060671,-0.000054,0.000002,-0.001291,3.141588,0.000646,0.000001,1.000000,0.000002,1,14.681352,99.990898,48.407925,135,126,119,126.66666666666667,10,1.370376,-0.000692,0.000000,0
3,0.160000,-45.026986,45.879916,0.310686,0.892921,0.000656,-0.110982,0.000817,0.000038,-0.006326,3.141564,0.003163,0.000019,0.999995,0.000014,1,14.694820,99.983337,48.700268,46,47,52,48.333333333333336,10,2.120684,-0.012731,0.000000,0
4,0.210000,-45.060054,45.879818,0.284813,0.831195,0.001463,-0.091922,0.004795,0.000097,-0.011425,-3.141490,0.005712,0.000049,0.999984,-0.000052,1,14.704607,99.978218,48.431189,45,44,48,45.666666666666664,10,2.834717,-0.027542,0.000000,0
5,0.260000,-45.103192,45.879777,0.275911,0.948267,0.000891,-0.049228,0.008336,0.000136,-0.014812,-3.141102,0.007406,0.000070,0.999973,-0.000246,1,14.722983,99.989532,48.523650,36,36,37,36.333333333333336,10,3.547246,-0.027941,0.000000,0
6,0.310000,-45.156878,45.879579,0.281044,1.173092,0.001758,0.001890,0.012083,0.000214,-0.015732,-3.140640,0.007866,0.000111,0.999969,-0.000477,1,14.773275,99.965080,48.466454,31,31,31,31.0,10,4.261205,-0.040055,0.000000,0
7,0.360000,-45.221118,45.879434,0.293799,1.397893,-0.000460,0.041838,0.015026,0.000206,-0.014363,-3.139865,0.007181,0.000109,0.999974,-0.000865,1,0.630494,99.983398,48.543594,29,30,30,29.666666666666668,10,4.975682,-0.033432,0.000000,0
8,0.410000,-45.295809,45.879121,0.307486,1.596533,-0.000699,0.059118,0.015297,0.000169,-0.011654,-3.139138,0.005827,0.000092,0.999982,-0.001228,1,11.053768,99.973145,48.443953,29,30,32,30.333333333333332,10,5.690642,-0.033174,0.000000,0
9,0.460000,-45.380625,45.878818,0.317417,1.782387,-0.002619,0.052983,0.013030,0.000054,-0.008798,-3.138348,0.004399,0.000034,0.999989,-0.001623,1,14.950738,99.961456,48.660000,30,31,35,32.0,10,6.405645,-0.018666,0.000000,0
