step,time,gps_x,gps_y,gps_z,gps_speed,gyro_x,gyro_y,gyro_z,imu_roll,imu_pitch,imu_yaw,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,radar_targets_count,roof_lidar_min_dist,roof_lidar_max_dist,roof_lidar_mean_dist,camera_red,camera_green,camera_blue,camera_gray,camera_recognition_objects,driver_speed,driver_steering_angle,driver_brake_intensity,collision_detected
23,1.160000,-47.596540,45.856563,0.310839,4.530495,-0.005600,-0.004278,0.054659,0.000842,-0.008744,-3.123238,0.004368,0.000461,0.999948,-0.009179,1,16.750402,99.985191,48.125265,32,35,32,33.0,10,16.385560,-0.038632,0.000000,0
24,1.210000,-47.828971,45.851461,0.310288,4.729289,-0.003780,-0.004633,0.051357,0.000566,-0.008979,-3.120626,0.004486,0.000330,0.999935,-0.010485,1,16.454166,99.980087,48.021106,35,38,34,35.666666666666664,10,17.097045,-0.035572,0.000000,0
25,1.260000,-48.071336,45.845629,0.309897,4.928379,0.000477,-0.003283,0.049482,0.000478,-0.009176,-3.118114,0.004585,0.000293,0.999921,-0.011740,1,10.285188,99.920044,47.964413,36,39,34,36.333333333333336,10,17.808273,-0.032890,0.000000,0
26,1.310000,-48.323631,45.838959,0.309738,5.126950,0.006377,-0.001125,0.055440,0.000645,-0.009279,-3.115574,0.004635,0.000383,0.999905,-0.013010,1,12.790662,99.978851,47.835279,37,41,34,37.333333333333336,10,18.519225,-0.038514,0.000000,0
27,1.360000,-48.585809,45.831336,0.309795,5.325101,0.006329,0.000756,0.063080,0.000947,-0.009278,-3.112547,0.004632,0.000541,0.999884,-0.014524,1,8.983954,99.967087,47.842458,34,38,32,34.666666666666664,10,19.229927,-0.040297,0.000000,0
28,1.410000,-48.857865,45.822474,0.309975,5.523137,0.003952,0.001781,0.070155,0.001148,-0.009210,-3.109231,0.004595,0.000648,0.999858,-0.016183,1,14.913049,99.993050,47.684809,25,28,26,26.333333333333332,10,19.940361,-0.043982,0.000000,0
29,1.460000,-49.139760,45.812215,0.310184,5.720608,0.001633,0.001957,0.078444,0.001222,-0.009118,-3.105493,0.004547,0.000693,0.999826,-0.018051,1,18.080772,99.947136,47.690629,15,19,17,17.0,10,20.650516,-0.047089,0.000000,0
30,1.510000,-49.431484,45.800434,0.310345,5.918655,-0.001526,0.001315,0.079873,0.001160,-0.009041,-3.101465,0.004508,0.000671,0.999788,-0.020065,1,10.837888,99.965157,47.635094,15,18,18,17.0,10,21.360409,-0.044244,0.000000,0
31,1.560000,-49.733087,45.787077,0.310410,6.117683,-0.002545,0.000337,0.074411,0.001002,-0.009008,-3.097607,0.004492,0.000600,0.999748,-0.021993,1,13.075086,99.892685,47.493136,15,17,18,16.666666666666668,10,22.070082,-0.039175,0.000000,0
32,1.610000,-50.044618,45.772314,0.310382,6.318042,-0.006346,-0.000619,0.054615,0.000753,-0.009022,-3.094302,0.004501,0.000483,0.999710,-0.023645,1,18.920094,99.953575,47.433035,16,18,20,18.0,10,22.779414,-0.023686,0.000000,0
33,1.660000,-50.366130,45.756301,0.310292,6.518009,-0.003533,-0.000909,0.038340,0.000479,-0.009068,-3.092172,0.004526,0.000351,0.999684,-0.024708,1,19.179794,99.974899,47.350303,16,18,21,18.333333333333332,10,23.488760,-0.018329,0.000000,0
34,1.710000,-50.697563,45.739338,0.310205,6.716915,-0.001777,-0.000645,0.029972,0.000358,-0.009107,-3.090484,0.004547,0.000295,0.999663,-0.025552,1,18.308060,99.980804,47.283019,16,18,20,18.0,10,24.197498,-0.013327,0.000000,0
35,1.760000,-51.038894,45.721354,0.310150,6.915361,0.001435,-0.000193,0.033102,0.000333,-0.009127,-3.089038,0.004557,0.000286,0.999644,-0.026275,1,17.860456,99.856117,47.203558,16,18,20,18.0,10,24.905839,-0.017753,0.000000,0
36,1.810000,-51.390090,45.702298,0.310140,7.113622,0.000290,0.000166,0.037309,0.000362,-0.009125,-3.087189,0.004556,0.000305,0.999620,-0.027199,1,18.835482,99.991890,47.081657,16,18,20,18.0,10,25.613829,-0.017283,0.000000,0
37,1.860000,-51.751159,45.682021,0.310159,7.312233,-0.000750,0.000292,0.034130,0.000316,-0.009113,-3.085392,0.004550,0.000286,0.999595,-0.028097,1,15.696593,99.970810,47.035597,16,18,20,18.0,10,26.321467,-0.014854,0.000000,0
38,1.910000,-52.122114,45.660620,0.310190,7.510928,0.001392,0.000288,0.028221,0.000320,-0.009098,-3.083843,0.004543,0.000291,0.999573,-0.028871,1,18.239700,99.978874,46.931010,16,18,20,18.0,10,27.028764,-0.011598,0.000000,0
39,1.960000,-52.502964,45.638230,0.310221,7.709638,0.002410,0.000204,0.019459,0.000428,-0.009087,-3.082659,0.004535,0.000348,0.999556,-0.029463,1,11.907135,99.942970,46.773024,15,18,20,17.666666666666668,10,27.735688,-0.007003,0.000000,0
40,2.010000,-52.893704,45.614895,0.310242,7.908039,0.002730,0.000132,0.018270,0.000551,-0.009079,-3.081820,0.004529,0.000411,0.999543,-0.029883,1,11.729435,99.964745,46.681239,15,18,20,17.666666666666668,10,28.442239,-0.008366,0.000000,0
41,2.060000,-53.294318,45.590590,0.310252,8.106390,-0.002615,0.000037,0.019104,0.000534,-0.009076,-3.080842,0.004528,0.000405,0.999528,-0.030372,1,15.416670,99.903564,46.625033,15,18,19,17.333333333333332,10,29.148359,-0.007521,0.000000,0
42,2.110000,-53.704805,45.565198,0.310250,8.304771,-0.005956,-0.000043,0.019484,0.000264,-0.009077,-3.079903,0.004532,0.000272,0.999514,-0.030840,1,16.929274,99.993843,46.580963,15,18,19,17.333333333333332,10,29.854080,-0.008043,0.000000,0
43,2.160000,-54.125166,45.538797,0.310241,8.503141,-0.002949,-0.000077,0.018815,0.000022,-0.009080,-3.078923,0.004538,0.000153,0.999499,-0.031329,1,11.717409,99.909019,46.418515,15,18,20,17.666666666666668,10,30.559387,-0.007108,0.000000,0
44,2.210000,-54.543624,45.511845,0.312501,8.195155,0.018076,-0.119936,0.038869,-0.001010,-0.011645,-3.077916,0.005836,-0.000319,0.999476,-0.031830,1,16.286203,99.987534,46.214302,16,19,19,18.0,10,31.288358,0.003512,0.000000,0
45,2.260000,-54.965543,45.485657,0.313811,8.749601,0.004361,-0.177639,-0.022572,-0.000936,-0.018621,-3.077012,0.009321,-0.000167,0.999435,-0.032279,1,19.573000,99.997185,45.696273,17,21,20,19.333333333333332,8,31.916113,0.009982,0.000000,0
46,2.310000,-55.413714,45.457168,0.310340,9.074788,-0.002609,-0.125013,-0.035884,-0.000821,-0.026514,-3.078643,0.013263,0.000007,0.999417,-0.031462,1,19.401981,99.946854,45.334695,20,25,22,22.333333333333332,8,32.675129,0.014524,0.000000,0
47,2.360000,-55.872183,45.428934,0.307876,9.268348,-0.008832,-0.029500,-0.043449,-0.001079,-0.029813,-3.080684,0.014916,-0.000085,0.999425,-0.030438,1,19.278437,99.971779,45.223577,22,27,23,24.0,8,33.373830,0.015710,0.000000,0
